CircularTrains-PT-048; otf-ldd-sat; 16; 0.29; 23973456915
ResAllocation-PT-R003C005; ldd-sat; 4; 0.016572; 1200
ParamProductionCell-PT-3-rf; ldd-par; 4; 9.770049; 1465206
DES-PT-10a; ldd-sat; 1; 2.724148; 1600305869653
Philosophers-PT-000020; rf-otf-ldd-sat; 2; 0.07; 3486784401
TCPcondis-PT-10; otf-ldd-sat; 4; 27.17; 13761971603
BridgeAndVehicles-PT-V20P20N10; ldd-chaining; 1; 305.093764; 6732570
SharedMemory-PT-000005; bdd-sat; 16; 0.030555; 1863
DES-PT-40a; otf-ldd-sat; 4; 13.1; 35225598483445
ResAllocation-PT-R002C002; ldd-par; 2; 0.009045; 8
Angiogenesis-PT-01; ldd-par; 8; 0.013857; 110
AutoFlight-PT-01b-rf; mdd-sat; 1; 0.921689; 48881955
ResAllocation-PT-R003C003-rf; ldd-par; 1; 0.016363; 92
Philosophers-PT-000010-rf; mdd-sat; 1; 0.001176; 59049
Diffusion2D-PT-D40N010; rf-otf-ldd-sat; 8; 1200; -1
PhaseVariation-PT-D10CS010; rf-otf-ldd-sat; 16; 1200; -1
Diffusion2D-PT-D10N010; otf-ldd-sat; 1; 1.27; 42634215112710
PolyORBLF-PT-S04J04T10; otf-ldd-sat; 1; 1200; -1
Kanban-PT-0005; ldd-chaining; 2; 0.028411; 2546432
Diffusion2D-PT-D40N150; otf-ldd-sat; 4; 1200; -1
Raft-PT-02; bdd-sat; 4; 0.022414; 7381
SquareGrid-PT-080408; rf-otf-ldd-sat; 4; 1200; -1
Peterson-PT-2-rf; ldd-chaining; 8; 0.506238; 20754
ResAllocation-PT-R005C002; bdd-sat; 2; 0.015784; 112
PhilosophersDyn-PT-03; ldd-chaining; 1; 0.02515; 325
LamportFastMutEx-PT-5; otf-ldd-sat; 8; 82.36; 530682432
TCPcondis-PT-10-rf; ldd-chaining; 8; 18.863753; 13761971603
PolyORBLF-PT-S04J06T10; otf-ldd-sat; 2; 1200; -1
DLCshifumi-PT-4a; otf-ldd-sat; 8; 149.33; 0
AutoFlight-PT-12a-rf; ldd-chaining; 2; 1200; -1
HypercubeGrid-PT-C3K4P4B12; rf-otf-ldd-sat; 1; 1200; -1
Diffusion2D-PT-D40N100; otf-ldd-sat; 4; 1200; -1
AutoFlight-PT-05b; rf-otf-ldd-sat; 4; 1200; -1
Raft-PT-02; ldd-par; 16; 0.018673; 7381
ResAllocation-PT-R003C050-rf; ldd-chaining; 8; 0.666595; 48717538008124385093939625984
QuasiCertifProtocol-PT-06; rf-otf-ldd-sat; 2; 17.07; 2271960
GPPP-PT-C0001N0000000001; otf-ldd-sat; 2; 0.1; 10380
PhaseVariation-PT-D20CS010; otf-ldd-sat; 16; 1200; -1
Diffusion2D-PT-D50N100; rf-otf-ldd-sat; 4; 1200; -1
SmallOperatingSystem-PT-MT0064DC0032-rf; ldd-par; 1; 21.720765; 9133641
TriangularGrid-PT-3011; bdd-sat; 1; 1.326761; 284675587524871880704
ResAllocation-PT-R003C002-rf; bdd-sat; 1; 0.014779; 20
Parking-PT-416; rf-otf-ldd-sat; 8; 2.4; 0
CSRepetitions-PT-02; ldd-par; 16; 0.023925; 7424
Raft-PT-04-rf; ldd-chaining; 16; 6.088675; 2965858466581
